Start of the Ejecta,End of the Ejecta,MC
2012-01-22T05:30:44,2012-01-22T23:57:45,2012-01-24T14:33:00
,2012-02-14T20:36:22,2012-02-15T16:41:15
,2012-02-16T14:14:37,2012-02-18T05:25:01
2012-02-26T20:55:30,2012-02-27T18:04:30,2012-02-28T14:26:15
,2012-02-29T07:09:05,2012-02-29T23:40:07
,2012-03-02T21:15:45,2012-03-04T01:09:45
,2012-03-06T06:30:00,2012-03-06T13:26:15
2012-03-08T10:35:59,2012-03-09T03:08:31,2012-03-11T07:21:00
2012-03-15T12:33:45,2012-03-15T21:00:00,2012-03-16T10:30:00
,2012-04-04T20:06:00,2012-04-05T09:22:30
2012-04-23T02:14:03,2012-04-23T16:43:18,2012-04-24T02:52:30
,2012-04-26T02:35:37,2012-04-27T21:31:30
,2012-05-04T03:27:00,2012-05-05T11:17:15
,2012-05-16T16:07:30,2012-05-17T19:39:00
,2012-06-01T19:30:00,2012-06-02T07:42:00
,2012-06-02T14:54:00,2012-06-03T11:06:00
,2012-06-08T11:00:16,2012-06-10T03:57:16
2012-06-16T19:34:30,2012-06-16T22:12:00,2012-06-17T12:31:30
,2012-07-05T01:14:15,2012-07-05T10:11:59
,2012-07-08T23:46:30,2012-07-09T13:48:00
2012-07-14T17:33:00,2012-07-15T06:22:30,2012-07-16T13:25:30
,2012-08-16T21:49:30,2012-08-18T03:38:15
,2012-08-30T18:40:30,2012-08-31T05:10:30
,2012-09-01T07:48:16,2012-09-01T20:48:45
2012-09-03T11:25:07,2012-09-04T16:38:26,2012-09-04T23:30:56
2012-09-04T22:01:52,2012-09-05T06:39:22,2012-09-05T17:45:56
,2012-09-06T02:15:00,2012-09-06T15:49:30
,2012-09-06T18:27:00,2012-09-06T23:06:00
2012-09-30T10:14:15,2012-09-30T12:29:15,2012-10-01T09:38:15
2012-09-30T22:16:30,2012-10-01T17:10:30,2012-10-02T05:06:00
2012-10-08T04:10:18,2012-10-08T17:22:30,2012-10-09T13:27:11
2012-10-12T08:10:30,2012-10-12T18:31:30,2012-10-13T09:40:30
2012-10-31T14:30:45,2012-10-31T23:30:45,2012-11-02T02:37:30
2012-11-12T22:09:45,2012-11-13T07:43:30,2012-11-14T02:24:00
2012-11-23T20:48:45,2012-11-24T12:45:00,2012-11-25T10:21:00
2012-11-26T04:35:59,2012-11-26T21:47:15,2012-11-28T17:05:59
,2012-12-14T07:34:30,2012-12-14T17:35:15
,2013-01-17T16:09:45,2013-01-18T11:33:11
,2013-01-19T00:02:15,2013-01-19T17:10:13
2013-01-19T16:43:30,2013-01-19T22:21:00,2013-01-20T07:00:45
,2013-02-14T17:40:46,2013-02-16T13:35:15
2013-02-16T11:17:15,2013-02-17T11:26:15,2013-02-17T19:16:30
2013-03-17T05:14:54,2013-03-17T23:50:54,2013-03-19T15:57:16
2013-04-13T22:12:00,2013-04-14T16:39:00,2013-04-15T18:00:00
,2013-05-16T04:45:56,2013-05-16T12:44:26
,2013-05-16T15:00:00,2013-05-16T22:34:30
2013-05-25T21:13:30,2013-05-26T00:00:00,2013-05-26T23:06:00
,2013-06-06T14:45:50,2013-06-07T12:12:50
2013-06-27T13:56:14,2013-06-28T03:27:11,2013-06-29T03:35:37
,2013-07-05T18:31:30,2013-07-07T16:18:44
,2013-07-10T19:56:09,2013-07-11T02:17:48
2013-07-12T16:45:45,2013-07-13T05:15:00,2013-07-14T23:33:00
2013-08-22T18:57:56,2013-08-24T00:00:56,2013-08-25T02:43:52
2013-10-02T01:12:39,2013-10-02T23:44:09,2013-10-03T14:53:26
,2013-11-11T17:42:00,2013-11-12T01:52:30
,2013-12-01T13:30:00,2013-12-02T23:54:22
,2013-12-15T16:48:00,2013-12-16T01:07:30
,2013-12-25T05:28:30,2013-12-25T16:43:30
,2014-01-30T15:22:30,2014-02-01T07:30:00
,2014-02-06T02:08:34,2014-02-07T20:30:22
2014-02-07T16:16:52,2014-02-08T06:51:25,2014-02-09T10:49:17
,2014-02-12T09:20:21,2014-02-13T10:13:07
2014-02-13T08:55:07,2014-02-13T13:42:45,2014-02-14T04:44:37
2014-02-15T12:45:42,2014-02-16T04:03:34,2014-02-16T14:28:34
2014-02-18T06:04:17,2014-02-18T14:43:55,2014-02-19T09:45:00
2014-02-19T03:09:38,2014-02-19T11:43:55,2014-02-20T05:51:00
2014-02-20T02:44:59,2014-02-21T02:15:00,2014-02-21T18:37:30
,2014-04-05T22:09:45,2014-04-07T14:33:00
,2014-04-11T06:54:00,2014-04-12T21:08:59
2014-04-20T10:21:00,2014-04-21T07:30:00,2014-04-22T07:48:00
